Aucas 	  	6 	2 	5 	46% 	38% 	  	8 	1 	6 	53% 	40% 	  	
Barcelona SC 	  	8 	2 	3 	62% 	23% 	  	13 	0 	2 	87% 	13% 	  	
Delfin SC 	  	7 	2 	5 	50% 	36% 	  	7 	0 	7 	50% 	50% 	  	
Dep Cuenca 	  	6 	1 	7 	43% 	50% 	  	7 	1 	6 	50% 	43% 	  	
El Nacional 	  	10 	0 	5 	67% 	33% 	  	9 	1 	3 	69% 	23% 	  	
Emelec 	  	7 	1 	6 	50% 	43% 	  	4 	0 	10 	29% 	71% 	  	
Fuerza Amarilla 	  	10 	0 	4 	71% 	29% 	  	10 	1 	3 	71% 	21% 	  	
Independiente 	  	11 	0 	3 	79% 	21% 	  	5 	3 	6 	36% 	43% 	  	
LDU de Quito 	  	7 	1 	7 	47% 	47% 	  	1 	1 	11 	8% 	85% 	  	
Mushuc Runa 	  	5 	0 	8 	38% 	62% 	  	4 	0 	11 	27% 	73% 	  	
River Ecuador 	  	6 	2 	6 	43% 	43% 	  	2 	0 	12 	14% 	86% 	  	
U Catolica 	  	4 	0 	10 	29% 	71% 	  	2 	1 	11 	14% 	79% 	  	
